ip,domain_count,avg_length,standard_deviation,similarity,content,domains
104.244.43.99,9,445.0,0.0,1.0,"['Accept-Ranges: bytes' 'Content-Length: 173' 'Content-Type: text/html'
 'Date: Sun, 02 Jan 2022 23:35:41 GMT' 'Retry-After: 0' 'Server: Varnish'
 'Via: 1.1 varnish' 'X-Cache: MISS' 'X-Cache-Hits: 0'
 'X-Served-By: cache-dtw8023-DTW' 'X-Timer: S1641166541.101707,VS0,VE0']<html>
<head></head>
<body>
nothing here
<script defer src=""https://www.fastly-insights.com/static/scout.js?k=a7973d95-b5d9-4085-ad39-308482e318f1""></script>
</body>
</html>","['medium.com' 'breitbart.com' 'www.youtube.com' 'www.pokerstars.com'
 'www.wikipedia.org' 'www.facebook.com' 'daum.net' 'web.archive.org'
 'pornhub.com']"
151.101.77.164,9,446.0,0.0,1.0,"['Accept-Ranges: bytes' 'Content-Length: 173' 'Content-Type: text/html'
 'Date: Sun, 02 Jan 2022 23:39:29 GMT' 'Retry-After: 0' 'Server: Varnish'
 'Via: 1.1 varnish' 'X-Cache: MISS' 'X-Cache-Hits: 0'
 'X-Served-By: cache-hkg17922-HKG' 'X-Timer: S1641166769.296361,VS0,VE0']<html>
<head></head>
<body>
nothing here
<script defer src=""https://www.fastly-insights.com/static/scout.js?k=a7973d95-b5d9-4085-ad39-308482e318f1""></script>
</body>
</html>","['web.archive.org' 'www.pokerstars.com' 'daum.net' 'www.facebook.com'
 'www.youtube.com' 'www.wikipedia.org' 'pornhub.com' 'medium.com'
 'breitbart.com']"
104.244.43.35,8,445.0,0.0,1.0,"['Accept-Ranges: bytes' 'Content-Length: 173' 'Content-Type: text/html'
 'Date: Sun, 02 Jan 2022 23:37:04 GMT' 'Retry-After: 0' 'Server: Varnish'
 'Via: 1.1 varnish' 'X-Cache: MISS' 'X-Cache-Hits: 0'
 'X-Served-By: cache-dtw8026-DTW' 'X-Timer: S1641166624.092557,VS0,VE0']<html>
<head></head>
<body>
nothing here
<script defer src=""https://www.fastly-insights.com/static/scout.js?k=a7973d95-b5d9-4085-ad39-308482e318f1""></script>
</body>
</html>","['daum.net' 'www.facebook.com' 'pornhub.com' 'www.wikipedia.org'
 'breitbart.com' 'www.pokerstars.com' 'web.archive.org' 'medium.com']"
203.107.54.59,2,319.0,0.0,1.0,"['Content-Length: 213' 'Content-Type: text/html'
 'Date: Sun, 02 Jan 2022 23:38:33 GMT' 'Server: Tengine']<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html>
<head><title>410 Gone</title></head>
<body>
<center><h1>410 Gone</h1></center>
<hr/>Powered by Tengine<hr><center>tengine</center>
</body>
</html>
",['udn.com' 'usbank.com']
