ip,domain_count,avg_length,standard_deviation,similarity,content,domains
52.65.137.153,9,805.0,0.0,1.0,"['Content-Language: en', 'Content-Length: 682', 'Content-Type: text/html;charset=utf-8', 'Date: Sun, 30 May 2021 21:12:26 GMT']<!doctype html><html lang=""en""><head><title>HTTP Status 404 – Not Found</title><style type=""text/css"">body {font-family:Tahoma,Arial,sans-serif;} h1, h2, h3, b {color:white;background-color:#525D76;} h1 {font-size:22px;} h2 {font-size:16px;} h3 {font-size:14px;} p {font-size:12px;} a {color:black;} .line {height:1px;background-color:#525D76;border:none;}</style></head><body><h1>HTTP Status 404 – Not Found</h1><hr class=""line"" /><p><b>Type</b> Status Report</p><p><b>Description</b> The origin server did not find a current representation for the target resource or is not willing to disclose that one exists.</p><hr class=""line"" /><h3>Apache Tomcat/9.0.41</h3></body></html>","['extratorrent.cc' '1337x.to' 'rezka.ag' 'cuevana3.io' 'rarbg.to'
 'rutracker.org' 'seasonvar.ru' 'y2mate.com' 'subscene.com']"
3.105.240.211,5,168.0,0.0,1.0,"['Content-Length: 56', 'Content-Type: application/json', 'Date: Sun, 30 May 2021 21:15:33 GMT', 'Server: nginx']{""code"":""ResourceNotFound"",""message"":""/ does not exist""}",['subscene.com' 'y2mate.com' 'rutracker.org' 'rarbg.to' 'rezka.ag']
